               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032176,           0.0073951,            0.017586,             0.90067,             0.83365,             0.91547,             0.56344,            0.029951,           0.0057827,            0.012866,             0.00769,             0.00769,             0.00769
                  37,            0.031809,           0.0074089,            0.015437,             0.87828,             0.88031,             0.91755,             0.58812,             0.02748,           0.0057549,            0.012394,            0.007624,            0.007624,            0.007624
                  38,            0.031679,           0.0076518,            0.015679,             0.89127,             0.88359,             0.91784,             0.55341,            0.028397,           0.0057242,            0.011497,            0.007558,            0.007558,            0.007558
                  39,            0.030382,           0.0074249,            0.014782,             0.87872,              0.8608,             0.91285,             0.55521,            0.028261,           0.0059309,            0.012992,            0.007492,            0.007492,            0.007492
                  40,            0.031177,           0.0076122,             0.01572,             0.86673,             0.88563,             0.93344,             0.57989,            0.027034,            0.005631,            0.011795,            0.007426,            0.007426,            0.007426
                  41,            0.030643,           0.0074439,            0.014501,             0.89294,             0.89188,             0.94225,              0.6023,            0.025131,           0.0055417,            0.011803,             0.00736,             0.00736,             0.00736
                  42,            0.030349,           0.0072998,            0.013863,             0.89108,              0.8889,             0.94452,             0.61774,            0.026253,           0.0055469,            0.010471,            0.007294,            0.007294,            0.007294
                  43,            0.030393,           0.0073239,            0.013174,             0.92408,              0.9052,             0.94876,             0.62694,            0.026276,           0.0054645,           0.0099449,            0.007228,            0.007228,            0.007228
                  44,            0.030609,            0.007092,             0.01475,             0.92058,             0.91275,             0.94698,             0.61146,            0.027055,           0.0055191,            0.010179,            0.007162,            0.007162,            0.007162
                  45,            0.030748,           0.0073991,            0.014278,             0.93693,              0.9058,             0.95165,             0.62839,            0.025667,           0.0055345,           0.0090636,            0.007096,            0.007096,            0.007096
                  46,             0.03004,           0.0073588,            0.012648,             0.93065,             0.90159,             0.94604,              0.6072,            0.025573,           0.0055197,           0.0092992,             0.00703,             0.00703,             0.00703
                  47,            0.030493,           0.0072372,            0.012438,             0.92463,             0.92733,             0.94982,             0.61768,            0.025164,           0.0054781,           0.0097305,            0.006964,            0.006964,            0.006964
