               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094613,            0.030699,            0.089081,           0.0046219,             0.51281,            0.010634,           0.0031825,            0.065063,            0.020848,            0.085468,            0.070357,           0.0032937,           0.0032937
                   1,            0.063604,            0.024043,            0.083259,             0.27008,             0.07961,            0.050707,            0.018929,            0.053985,            0.013449,            0.080078,            0.040316,            0.006586,            0.006586
                   2,            0.056923,            0.016712,            0.079842,             0.56171,             0.12753,            0.064321,            0.027446,            0.049297,            0.010606,            0.076613,            0.010234,           0.0098371,           0.0098371
                   3,            0.052816,            0.015691,             0.07713,             0.43708,             0.21272,            0.096706,            0.046509,            0.039784,           0.0098457,            0.074535,           0.0098144,           0.0098144,           0.0098144
                   4,            0.047455,            0.014751,            0.074999,             0.48097,             0.22254,             0.12004,            0.058104,            0.037606,           0.0088072,            0.072694,           0.0098144,           0.0098144,           0.0098144
                   5,            0.044235,            0.012946,            0.072609,             0.52811,             0.27432,             0.15524,             0.08129,            0.036288,           0.0085584,            0.070004,           0.0097525,           0.0097525,           0.0097525
                   6,            0.042219,            0.012866,            0.071206,               0.415,             0.33884,             0.18649,             0.10314,            0.033261,           0.0080615,            0.067908,           0.0096906,           0.0096906,           0.0096906
                   7,            0.040873,            0.012138,            0.068321,              0.5663,             0.30839,             0.22063,             0.13355,            0.030359,           0.0080186,            0.065217,           0.0096288,           0.0096288,           0.0096288
                   8,            0.040002,            0.013701,            0.067002,             0.61389,             0.29336,             0.23832,             0.13018,            0.032106,           0.0079558,             0.06253,           0.0095669,           0.0095669,           0.0095669
                   9,            0.039248,            0.011913,            0.063679,             0.59791,             0.34921,             0.28081,             0.14352,            0.032127,           0.0077067,            0.059792,            0.009505,            0.009505,            0.009505
                  10,            0.038886,            0.011345,            0.061244,             0.59584,             0.37623,             0.29589,             0.17003,            0.031633,           0.0076061,            0.056417,           0.0094431,           0.0094431,           0.0094431
                  11,            0.038146,            0.011746,            0.058556,             0.53659,             0.41671,             0.32825,             0.18382,            0.031539,            0.007494,            0.054047,           0.0093813,           0.0093813,           0.0093813
                  12,             0.03676,            0.011208,            0.056223,             0.58402,             0.43149,             0.36551,             0.22055,            0.030259,           0.0072563,            0.052431,           0.0093194,           0.0093194,           0.0093194
                  13,            0.037063,             0.01114,            0.054582,             0.58746,             0.42574,             0.37742,             0.22245,             0.02952,           0.0073514,            0.050428,           0.0092575,           0.0092575,           0.0092575
                  14,            0.035844,            0.010598,            0.052938,             0.63019,             0.41393,             0.43095,             0.25841,            0.027839,           0.0071441,            0.049235,           0.0091956,           0.0091956,           0.0091956
                  15,            0.035219,            0.011525,            0.051544,             0.65171,             0.45895,             0.46179,             0.27654,            0.028583,           0.0072553,             0.04631,           0.0091337,           0.0091337,           0.0091337
                  16,            0.035657,            0.011072,            0.048811,             0.57702,             0.46759,              0.4562,             0.26986,            0.030245,           0.0075709,            0.044442,           0.0090719,           0.0090719,           0.0090719
                  17,            0.035004,            0.010172,            0.047443,             0.63243,             0.51225,             0.53166,             0.31067,            0.027871,            0.007172,            0.041397,             0.00901,             0.00901,             0.00901
                  18,            0.034439,           0.0097303,            0.045235,             0.62244,             0.53194,             0.55307,             0.32371,            0.028911,           0.0072015,            0.039197,           0.0089481,           0.0089481,           0.0089481
                  19,            0.034902,            0.010886,            0.043059,             0.62957,             0.58089,             0.58519,             0.34658,            0.027996,           0.0071413,            0.037241,           0.0088863,           0.0088863,           0.0088863
                  20,            0.034464,            0.011486,            0.040711,             0.66433,             0.61905,             0.64994,             0.41028,            0.028025,            0.007011,            0.034582,           0.0088244,           0.0088244,           0.0088244
                  21,            0.034564,            0.011281,            0.039366,             0.68451,             0.60176,             0.67309,             0.41834,            0.028794,           0.0070145,            0.032586,           0.0087625,           0.0087625,           0.0087625
                  22,            0.034307,            0.010936,            0.037338,             0.67524,             0.64107,             0.67142,             0.42173,            0.027356,           0.0071793,            0.030623,           0.0087006,           0.0087006,           0.0087006
