               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088052,            0.029788,            0.084355,           0.0053651,              0.6965,            0.024774,           0.0089629,            0.056446,            0.018474,            0.084256,            0.070072,           0.0033254,           0.0033254
                   1,            0.059523,            0.020289,            0.079072,             0.39593,            0.093847,            0.060929,            0.025496,            0.046958,             0.01326,            0.078791,            0.040039,           0.0066258,           0.0066258
                   2,            0.055305,            0.016108,            0.075547,             0.47941,             0.14782,             0.07982,            0.037123,            0.044114,            0.011053,            0.076765,           0.0099727,           0.0098931,           0.0098931
                   3,             0.05092,            0.014394,            0.073532,             0.50552,             0.20162,             0.10721,            0.050156,             0.03657,            0.010279,            0.074376,           0.0098515,           0.0098515,           0.0098515
                   4,            0.045424,            0.013988,             0.07185,             0.57381,             0.25435,             0.14321,            0.075259,            0.036638,           0.0089906,            0.071405,           0.0098515,           0.0098515,           0.0098515
                   5,            0.043994,            0.012711,            0.069217,             0.52647,             0.28941,             0.16321,            0.088265,            0.033976,           0.0087242,            0.068807,            0.009802,            0.009802,            0.009802
                   6,            0.041944,            0.012847,            0.067281,             0.54259,             0.31691,             0.20909,             0.10092,            0.034912,           0.0086286,            0.066197,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040002,            0.011638,            0.064468,             0.62376,             0.33662,             0.27458,              0.1578,            0.030754,           0.0081246,            0.063606,            0.009703,            0.009703,            0.009703
                   8,            0.039454,            0.011608,            0.062436,             0.64974,              0.3166,             0.28679,             0.14334,            0.032222,           0.0079478,             0.06075,           0.0096535,           0.0096535,           0.0096535
                   9,             0.03822,            0.011458,            0.058818,             0.55938,             0.36312,             0.33922,             0.18859,            0.032336,           0.0080383,            0.057056,            0.009604,            0.009604,            0.009604
                  10,            0.037794,            0.011472,            0.056791,             0.59058,             0.42176,             0.37055,              0.2179,            0.030222,           0.0078952,            0.053609,           0.0095545,           0.0095545,           0.0095545
