               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10789,            0.023622,            0.090282,           0.0020263,            0.046763,           0.0020992,          0.00055824,            0.075526,            0.019974,            0.085763,            0.070769,           0.0032479,           0.0032479
                   1,            0.068598,             0.02255,            0.084067,             0.16509,            0.083935,            0.020056,           0.0056901,            0.071449,            0.014621,            0.082368,            0.040704,            0.006516,            0.006516
                   2,             0.05785,            0.015184,             0.08054,             0.26169,             0.13082,            0.045795,            0.020216,            0.061173,           0.0096445,            0.077551,            0.010573,           0.0097182,           0.0097182
                   3,            0.051602,            0.011813,             0.07668,             0.43188,              0.1529,            0.072712,            0.029764,            0.049362,           0.0088413,            0.074513,            0.009703,            0.009703,            0.009703
                   4,             0.04628,            0.010484,            0.074424,             0.49665,             0.25927,             0.13181,            0.064436,            0.045538,           0.0085545,            0.071997,            0.009703,            0.009703,            0.009703
                   5,            0.042947,           0.0099238,            0.070973,             0.43853,             0.29529,             0.14816,            0.061825,            0.047703,           0.0082213,            0.068769,            0.009604,            0.009604,            0.009604
                   6,            0.041494,           0.0096701,             0.06884,             0.49894,             0.32101,             0.20961,             0.10309,            0.043988,            0.007369,             0.06554,            0.009505,            0.009505,            0.009505
                   7,            0.039134,           0.0092385,            0.064949,             0.64925,             0.28802,             0.23738,             0.10717,            0.041654,           0.0072495,            0.062379,            0.009406,            0.009406,            0.009406
                   8,            0.038849,            0.009156,            0.062133,             0.58627,              0.2936,             0.23497,             0.10463,            0.042416,           0.0071247,            0.059287,            0.009307,            0.009307,            0.009307
                   9,             0.03772,           0.0090104,            0.059126,             0.68771,              0.2487,             0.27372,             0.13044,            0.039245,           0.0070146,            0.056024,            0.009208,            0.009208,            0.009208
                  10,            0.037017,           0.0086659,            0.056148,             0.67054,             0.29771,             0.33579,             0.17146,            0.036425,           0.0067828,            0.053486,            0.009109,            0.009109,            0.009109
                  11,            0.035975,           0.0085383,            0.054166,             0.60744,             0.31931,              0.3045,             0.15629,             0.03787,           0.0066891,            0.051129,             0.00901,             0.00901,             0.00901
                  12,            0.036649,           0.0086264,            0.052123,             0.60075,             0.39028,             0.39545,             0.21888,             0.03345,           0.0066891,            0.048328,            0.008911,            0.008911,            0.008911
                  13,            0.035796,           0.0087062,            0.049065,             0.59604,             0.41638,             0.42654,             0.23871,            0.036692,           0.0066657,            0.045694,            0.008812,            0.008812,            0.008812
                  14,            0.035733,           0.0086147,             0.04693,             0.64493,             0.46161,             0.48396,             0.22671,             0.03569,           0.0067219,            0.041389,            0.008713,            0.008713,            0.008713
                  15,            0.034636,           0.0084764,            0.043617,             0.49797,             0.49541,             0.47907,             0.26191,            0.035871,           0.0065715,            0.039494,            0.008614,            0.008614,            0.008614
                  16,            0.034317,           0.0082286,            0.041951,             0.51446,             0.58794,             0.53801,             0.29136,            0.035128,           0.0066562,            0.036969,            0.008515,            0.008515,            0.008515
                  17,            0.034198,           0.0082979,            0.039676,             0.57662,             0.58375,             0.58823,             0.34304,            0.032286,           0.0062675,            0.035102,            0.008416,            0.008416,            0.008416
                  18,            0.034975,           0.0080853,            0.037357,             0.57777,             0.60731,             0.62404,              0.3363,            0.033969,           0.0065084,            0.031708,            0.008317,            0.008317,            0.008317
                  19,            0.034505,            0.008306,            0.035139,             0.68283,             0.60661,             0.67099,             0.38047,             0.03418,            0.006327,            0.030574,            0.008218,            0.008218,            0.008218
                  20,             0.03399,            0.008279,            0.032668,              0.6725,              0.5547,             0.63917,             0.36713,            0.029577,           0.0065612,            0.030873,            0.008119,            0.008119,            0.008119
                  21,            0.033581,           0.0080861,            0.032059,             0.63515,             0.59269,             0.63755,              0.3628,            0.032588,           0.0063598,            0.028747,             0.00802,             0.00802,             0.00802
                  22,            0.032925,             0.00795,            0.028816,             0.67269,             0.60323,             0.66065,             0.38898,            0.032265,            0.006084,            0.024795,            0.007921,            0.007921,            0.007921
                  23,            0.033542,           0.0080299,             0.02657,             0.80114,              0.6303,              0.7399,             0.43498,            0.033663,           0.0062225,            0.023476,            0.007822,            0.007822,            0.007822
                  24,            0.033678,            0.008046,            0.025937,             0.79555,             0.68469,             0.77388,             0.47633,             0.03096,            0.006111,            0.021086,            0.007723,            0.007723,            0.007723
                  25,            0.033107,            0.007739,             0.02462,             0.71235,             0.71683,             0.76972,             0.47645,            0.029162,           0.0059583,            0.021734,            0.007624,            0.007624,            0.007624
                  26,            0.032463,           0.0077024,            0.024179,              0.7524,             0.70305,             0.77795,             0.42258,            0.033297,           0.0060736,            0.019693,            0.007525,            0.007525,            0.007525
                  27,            0.032989,           0.0077516,            0.023039,             0.75672,             0.71585,             0.77473,             0.48116,            0.029411,           0.0061095,            0.020854,            0.007426,            0.007426,            0.007426
                  28,             0.03243,           0.0079592,            0.020984,             0.75878,             0.77436,             0.81369,             0.51223,            0.031575,           0.0059265,            0.018845,            0.007327,            0.007327,            0.007327
                  29,            0.032397,           0.0078376,            0.021292,             0.80595,             0.76815,             0.83783,             0.50556,            0.029541,           0.0058708,            0.016854,            0.007228,            0.007228,            0.007228
                  30,             0.03159,           0.0077116,             0.02035,             0.79995,             0.76211,             0.84515,             0.52299,            0.029356,           0.0059936,            0.017782,            0.007129,            0.007129,            0.007129
                  31,            0.031472,           0.0077772,            0.018586,             0.74524,              0.8245,              0.8538,             0.53594,            0.029864,           0.0058936,            0.017126,             0.00703,             0.00703,             0.00703
                  32,            0.031926,           0.0075427,            0.018794,             0.88019,             0.77237,             0.88763,             0.53552,            0.030155,           0.0058176,            0.014609,            0.006931,            0.006931,            0.006931
                  33,             0.03123,           0.0079021,            0.018416,             0.84698,             0.83232,              0.8996,             0.55246,            0.029696,           0.0057741,            0.014212,            0.006832,            0.006832,            0.006832
                  34,            0.030979,           0.0074051,            0.017598,             0.82895,             0.86057,             0.89619,             0.53479,              0.0294,           0.0056974,            0.014022,            0.006733,            0.006733,            0.006733
